PSAP ID,PSAP Name,County,City,State,Zip,Text to TTY,Web Browser,DirectIP,RTT,Other
6728,Levelland Police Department,Hockley,Lubbock,TX,79452,,,1,,
6736,Lamb County Sheriff's Department,Lamb,Lubbock,TX,79452,,,1,,
6749,Lynn County Sheriff's Department,Lynn,Lubbock,TX,79452,,,1,,
6789,Muleshoe Police Department,Bailey,Lubbock,TX,79452,,,1,,
7005,Willson County Sheriff's Office,Wilson,San Antonio,TX,78216,,,1,,
7012,Wylie Police and Fire Communications,Collin,Wylie,TX,75098,,,1,,
7046,Price Communications,Carbon,Price,UT,84501,,,1,,
7131,Frederick County Public Safety Communications,Frederick,Winchester,VA,22602,,,1,,
8182,Alamo Area COG Backup PSAP,Bexar,San Antonio,TX,78216,,,1,,
680,California State University - Fullerton,Orange,Silverado,CA,92676,,1,,,
858,Orange County Sheriff Department Silverado,Orange,Silverado,CA,92676,,1,,,
778,Laguna Beach Police-Fire Department,Orange,Silverado,CA,92676,,1,,,
822,Metro Net,Orange,Silverado,CA,92676,,1,,,
976,Solano County Sheriff,Solano,Fairfield,CA,94533,,1,,,
857,Orange County Fire Authority,Orange,Silverado,CA,92676,,1,,,
901,Riverside Police Department,Riverside,Riverside ,CA,92505,,1,,,
859,Orange Police Department,Orange,Silverado,CA,92676,,1,,,
737,Fullerton Police Department,Orange,Silverado,CA,92676,,1,,,
530,Anaheim Police Department,Orange,Silverado,CA,92676,,1,,,
6471,Cameron Police Department,Milam,Belton,TX,76513,,,1,,
8467,Fort Hood 911,Bell,Belton,TX,76513,1,,,,
6888,San Saba Sheriff Office,San Saba,Belton,TX,76513,,,1,,
6865,Rockdale Police Deaprtment,Milam,Belton,TX,76513,,,1,,
6776,Mills County Sheriff Office,Mills,Belton,TX,76513,,,1,,
6718,Lampasas Police Department,Lampasas,Belton,TX,76513,,,1,,
6717,Lampasas County Sheriff Office,Lampasas,Belton,TX,76513,,,1,,
6697,Killeen Police Department,Bell,Belton,TX,76513,,,1,,
6627,Hamilton County Sheriff Office ,Hamilton,Belton,TX,76513,,,1,,
6605,Gatesville Police Department,Coryell,Belton,TX,76513,,,1,,
6508,Copperars Cove Police Department,Coryell,Belton,TX,76513,,,1,,
6432,Bell County Communications,Bell,Belton,TX,76513,,,1,,
7447,Kenosha Joint Services,Kenosha,Kenosha,WI,53140,,,1,,
6676,Jasper County Sheriff's Office,Jasper,Jasper,TX,75951,,,1,,
8556,Broward County EOC,Broward,Ft. Lauderdale,FL,33301,,,1,,
8555,Broward County Regional PSAP (South),Broward,Ft. Lauderdale,FL,33301,,,1,,
8554,Broward County Regional PSAP (North),Broward,Ft. Lauderdale,FL,33301,,,1,,
8553,Broward County Regional PSAP (Central),Broward,Ft. Lauderdale,FL,33301,,,1,,
7299,South Sound 911,Pierce,Tacoma,WA,98402,,1,,,
6543,Diboll Police Department,Angelina,Jasper,TX,75951,,,1,,
6404,Angelina County Sheriff's Office,Angelina,Jasper,TX,75951,,,1,,
3271,DPS Bangor,Penobscot,Augusta,ME,04333-0018,,,1,,
3296,Waldo R C C,Waldo,Augusta,ME,04333-0018,,,1,,
3263,Lewiston Auburn R C C,Androscoggin,Augusta,ME,04333-0018,,,1,,
3257,Hancock R C C ,Hancock,Augusta,ME,04333-0018,,,1,,
3267,D P S C M R C C,Kennebec,Augusta,ME,04333-0018,,,1,,
3305,York Police Department,York,Augusta,ME,04333-0018,,,1,,
